,Unnamed: 0,Label,MEAN_height,MEDIAN_height,MEAN_ndvi,MEDIAN_ndvi,MEAN_band1,MEDIAN_band1,MEAN_band2,MEDIAN_band2,MEAN_band3,MEDIAN_band3,MEAN_band4,MEDIAN_band4,MEAN_band1_normalized,MEDIAN_band1_normalized,MEDIAN_band2_normalized,MEDIAN_band3_normalized,MEDIAN_band4_normalized,MEDIAN_height_normalized,MEDIAN_ndvi_normalized
0,6,"Water, Overig",33.6811193378171,1,59.54251980146721,43,382.0180122703733,362,338.0642060129495,311,228.93055109167648,191,228.93055109167648,191,0.12267204632057505,0.02617801047120416,0.03546099290780136,0.0,0.0,0.0,0.0
1,2,Zand,13.3422707170197,1,56.0849518548544,51,551.2055353783678,548,588.2473178937265,583,514.9767743050991,513,514.9767743050991,513,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.0,0.05970149253731344
2,1,Mos,9.03152698079747,1,70.43947603746494,70,472.0282803049343,452,465.2344255550243,435,386.4877452208461,354,386.4877452208461,354,0.589423511288186,0.4973821989528795,0.47517730496453914,0.5062111801242236,0.5062111801242236,0.0,0.2014925373134328
3,5,Open laag struweel,19.8147892294281,1,84.18882004416207,85,439.180951151344,423,419.08547670094697,395,335.79142367475646,311,335.79142367475646,311,0.41909251086471455,0.3455497382198951,0.33333333333333326,0.3726708074534161,0.3726708074534161,0.0,0.3134328358208955
4,4,Lage kruiden-gras,17.1129039923795,1,89.68028268392237,91,423.17857334179513,412,400.41099898238656,384,318.75265519736456,302,318.75265519736456,302,0.3361116082558677,0.2879581151832462,0.2943262411347518,0.34472049689440987,0.34472049689440987,0.0,0.3582089552238806
5,8,Dicht laag struweel,32.7264360537993,33,96.09944383948074,96,419.65766116360464,412,392.1878695197781,380,302.89808744966206,291,302.89808744966206,291,0.31785379219690757,0.2879581151832462,0.2801418439716312,0.31055900621118016,0.31055900621118016,0.17391304347826086,0.39552238805970147
6,7,Hoge kruiden-gras,27.2329261131762,21,99.83697421192356,97,412.7052708837693,409,388.4246421709885,382,300.5662447403185,296,300.5662447403185,296,0.2818019236823761,0.2722513089005236,0.2872340425531916,0.32608695652173914,0.32608695652173914,0.10869565217391304,0.40298507462686567
7,0,Heide,6.55391543657741,1,100.1291494937004,98,404.80414258061614,407,369.75150441778806,372,285.847668646223,289,285.847668646223,289,0.24083034020728,0.26178010471204205,0.25177304964539005,0.30434782608695654,0.30434782608695654,0.0,0.41044776119402987
8,9,Open Duindoorn,37.3566598994744,35,104.66193202821812,104,411.2115710120365,407,383.4132534181076,376,293.1390710911436,287,293.1390710911436,287,0.27405628956110517,0.26178010471204205,0.26595744680851063,0.2981366459627329,0.2981366459627329,0.18478260869565216,0.45522388059701496
9,11,Open Hoog Struweel,65.1372055509722,71,111.49494050305908,109,389.91038798490086,391,355.64122545695835,358,262.1830003006892,261,262.1830003006892,261,0.16359824293423353,0.17801047120418856,0.2021276595744681,0.21739130434782605,0.21739130434782605,0.3804347826086956,0.49253731343283585
10,13,Dicht Hoog Struweel,76.1539110915706,81,121.19842623624731,122,382.0908553158128,383,345.40466728169093,348,246.0099700006971,244,246.0099700006971,244,0.12304977653862692,0.1361256544502618,0.16666666666666674,0.1645962732919255,0.1645962732919255,0.43478260869565216,0.5895522388059702
11,10,Dicht Duindoorn,56.4578906756334,60,122.77046508719948,125,390.3796067031616,391,355.9471224826339,357,257.85027996810487,258,257.85027996810487,258,0.1660313933838502,0.17801047120418856,0.198581560283688,0.2080745341614907,0.2080745341614907,0.32065217391304346,0.6119402985074627
12,15,Naaldbos,166.636478116259,185,123.17561300501411,125,358.3614314165151,357,302.43272124301893,301,206.7669245626153,204,206.7669245626153,204,0.0,0.0,0.0,0.04037267080745344,0.04037267080745344,0.9999999999999999,0.6119402985074627
13,14,Loofbos,133.514934125131,149,136.2837366525894,140,364.68346814035567,365,317.4763694746148,318,216.73555721158505,215,216.73555721158505,215,0.03278314759932299,0.041884816753926746,0.06028368794326244,0.07453416149068326,0.07453416149068326,0.8043478260869564,0.7238805970149254
14,12,Riet,66.9183457543859,71,145.5925594727424,153,373.5700318784018,374,340.51092741275534,344,220.3364770605749,221,220.3364770605749,221,0.07886474177553904,0.08900523560209428,0.15248226950354615,0.09316770186335399,0.09316770186335399,0.3804347826086956,0.8208955223880599
15,3,Adelaarsvaren,16.4085482284964,1,170.9102926166017,177,369.4872444534566,370,352.99169911135425,356,226.04207668848017,226,226.04207668848017,226,0.05769330152371355,0.0680628272251309,0.19503546099290792,0.10869565217391308,0.10869565217391308,0.0,1.0
